TIME,Visits
2019-12-01 00:00:00,34
2019-12-01 01:00:00,16
2019-12-01 02:00:00,9
2019-12-01 03:00:00,13
2019-12-01 04:00:00,14
2019-12-01 05:00:00,13
2019-12-01 06:00:00,
2019-12-01 07:00:00,45
2019-12-01 08:00:00,67
2019-12-01 09:00:00,
2019-12-01 10:00:00,122
2019-12-01 11:00:00,137
2019-12-01 12:00:00,136
2019-12-01 13:00:00,118
2019-12-01 14:00:00,121
2019-12-01 15:00:00,127
